id	gene	deltaPSI	deltaPSIc	z	p	q
chr18_20815859_20816015_+	CABLES1	-0.23	-0.215	-0.78	0.66	0
chr9_14180658_14180797_-	NFIB	0.08	0.095	0.51	0.52	0
chr10_79761955_79762066_-	POLR3A	-0.1	-0.085	-0.24	0.39	0
chr7_131194995_131195090_-	PODXL	-0.11	-0.105	-0.32	0.43	0
chrX_103411301_103411663_+	FAM199X	-0.39	-0.375	-1.44	1.13	0
chr16_12798481_12798906_-	CPPED1	-0.25	-0.235	-0.86	0.71	0
chr18_3450175_3450503_+	TGIF1	-0.04	-0.035	-0.03	0.31	0
chr8_87520721_87520904_-	RMDN1	0.35	0.355	1.59	1.25	0
chr19_52625613_52625710_-	ZNF616	0.17	0.175	0.84	0.7	0
chr12_10586390_10586541_-	KLRC2	-0.04	-0.035	-0.03	0.31	0
chr14_58894708_58895181_+	KIAA0586	0.03	0.045	0.3	0.42	0
chr6_41909190_41909586_-	CCND3	-0.09	-0.075	-0.2	0.38	0
chr2_182981934_182982419_+	PPP1R1C	-0.2	-0.185	-0.65	0.59	0
chr12_3069110_3069206_+	TEAD4	0.33	0.335	1.5	1.18	0
chr12_10572465_10572563_-	KLRC3	-0.15	-0.155	-0.53	0.53	0
chr10_71905177_71906342_-	TYSND1	-0.55	-0.535	-2.11	1.76	0.16
chr15_73996250_73996338_+	CD276	-0.03	-0.025	0.01	0.3	0
chr16_50100278_50100450_+	HEATR3	-0.4	-0.385	-1.48	1.16	0
chr11_71698050_71698074_+	RNF121	0.64	0.645	2.79	2.58	0.69
chr5_122495208_122495332_+	PRDM6	-0.41	-0.405	-1.57	1.24	0
chr6_18186019_18186041_+	KDM1B	0.08	0.085	0.47	0.5	0
chr1_45864586_45864652_-	TESK2	0.06	0.075	0.42	0.47	0
chr15_30703584_30703643_-	GOLGA8R	0.7	0.715	3.08	2.99	0.95
chr12_117486486_117486615_-	TESC	0.17	0.175	0.84	0.7	0
chr19_8495542_8495751_+	MARCH2	-0.13	-0.115	-0.36	0.44	0
chr7_129142633_129142668_+	SMKR1	-0.69	-0.685	-2.73	2.5	0.64
chr3_48481398_48481475_-	CCDC51	-0.01	0.005	0.13	0.35	0
chr11_18034398_18034471_-	SERGEF	-0.22	-0.215	-0.78	0.66	0
chr19_10431724_10431935_-	RAVER1	-0.13	-0.125	-0.41	0.47	0
chr5_66084498_66084622_+	MAST4	-0.7	-0.695	-2.77	2.55	0.67
chr17_17127236_17127457_-	FLCN	-0.16	-0.145	-0.49	0.51	0
chr19_21493303_21493429_-	ZNF708	0.17	0.185	0.88	0.72	0
chr1_1244295_1244352_+	PUSL1	-0.16	-0.145	-0.49	0.51	0
chr15_57544619_57544690_+	TCF12	-0.43	-0.425	-1.65	1.31	0
chr7_100150970_100151123_+	AGFG2	-0.13	-0.125	-0.41	0.47	0
chr19_12833291_12833351_-	TNPO2	0.11	0.125	0.63	0.58	0
chr17_1416747_1416848_-	INPP5K	-0.19	-0.175	-0.61	0.57	0
chr4_89910775_89912301_-	FAM13A	0.02	0.035	0.26	0.4	0
chr15_55612473_55612608_+	PIGB	-0.13	-0.115	-0.36	0.44	0
chr12_56982716_56982802_+	RBMS2	-0.22	-0.205	-0.74	0.64	0
chr14_93406207_93408249_-	ITPK1	0.13	0.135	0.67	0.6	0
chr16_50059562_50059612_+	CNEP1R1	0.4	0.405	1.79	1.44	0
chr5_176900437_176900638_-	DBN1	-0.49	-0.485	-1.9	1.54	0.03
chr22_42296024_42296126_+	SREBF2	0.11	0.125	0.63	0.58	0
chr5_83525673_83525702_-	EDIL3	-0.46	-0.465	-1.82	1.46	0
chr19_44500245_44502005_+	ZNF155	-0.11	-0.095	-0.28	0.41	0
chr5_176900437_176900742_-	DBN1	-0.49	-0.485	-1.9	1.54	0.03
chr5_53603718_53603776_-	ARL15	0.24	0.245	1.13	0.89	0
chr11_770993_771104_-	PDDC1	0.06	0.075	0.42	0.47	0
chr4_104020940_104021027_-	BDH2	-0.37	-0.365	-1.4	1.09	0
chr9_130565487_130565683_+	FPGS	0.23	0.235	1.09	0.86	0
chr20_30310421_30310705_-	BCL2L1	-0.07	-0.055	-0.11	0.34	0
chr20_2489527_2489561_-	ZNF343	-0.09	-0.075	-0.2	0.38	0
chrX_153736011_153736192_-	FAM3A	-0.2	-0.185	-0.65	0.59	0
chr12_100655508_100655546_-	DEPDC4	0.09	0.095	0.51	0.52	0
chr2_160639870_160639980_-	LY75-CD302	-0.12	-0.105	-0.32	0.43	0
chr12_31652540_31652605_-	DENND5B	0.49	0.495	2.17	1.82	0.21
chr19_44337657_44337778_+	ZNF283	0.01	0.015	0.18	0.37	0
chr17_16470643_16471243_-	ZNF287	-0.12	-0.105	-0.32	0.43	0
chr2_114475330_114475425_-	SLC35F5	0.05	0.055	0.34	0.44	0
chr4_83931637_83931863_-	LIN54	-0.16	-0.155	-0.53	0.53	0
chr10_65225255_65225722_-	JMJD1C	0.48	0.485	2.12	1.77	0.16
chr17_79166536_79166643_-	AZI1	-0.27	-0.265	-0.99	0.79	0
chr16_78312500_78312593_+	WWOX	0.06	0.065	0.38	0.45	0
chr6_18188023_18188233_+	KDM1B	0.06	0.075	0.42	0.47	0
chr2_27851919_27852036_+	GPN1	-0.11	-0.095	-0.28	0.41	0
chr19_7692129_7692326_-	XAB2	-0.12	-0.115	-0.36	0.44	0
chr11_77611617_77611760_+	AAMDC	0.17	0.175	0.84	0.7	0
chr15_30685455_30685563_-	CHRFAM7A	0.38	0.385	1.71	1.36	0
chr6_90323511_90323609_+	ANKRD6	-0.09	-0.075	-0.2	0.38	0
chr11_76705200_76705270_+	ACER3	0.08	0.095	0.51	0.52	0
chr13_50586071_50587316_+	TRIM13	-0.24	-0.235	-0.86	0.71	0
chr18_3451591_3451773_+	TGIF1	0.12	0.125	0.63	0.58	0
chr2_230910461_230911438_-	SLC16A14	-0.41	-0.395	-1.53	1.2	0
chr15_75871055_75871630_-	PTPN9	-0.21	-0.195	-0.7	0.62	0
chr6_33166946_33167193_-	RXRB	-0.11	-0.095	-0.28	0.41	0
chr16_89989767_89989866_+	TUBB3	0.12	0.125	0.63	0.58	0
chr19_22018838_22019010_-	ZNF43	-0.15	-0.135	-0.45	0.49	0
chr6_111067329_111067404_-	CDK19	-0.18	-0.165	-0.57	0.55	0
chr12_51639845_51640501_+	DAZAP2	-0.25	-0.245	-0.9	0.74	0
chr12_71955561_71955632_+	LGR5	-0.21	-0.205	-0.74	0.64	0
chr10_123324952_123325218_-	FGFR2	0.12	0.125	0.63	0.58	0
chr14_93406098_93408249_-	ITPK1	0.13	0.135	0.67	0.6	0
chr10_50732079_50732273_-	PGBD3	-0.31	-0.305	-1.15	0.9	0
chr11_77122819_77122949_-	PAK1	0.08	0.085	0.47	0.5	0
chr17_456673_456702_-	VPS53	-0.11	-0.095	-0.28	0.41	0
chr12_133498048_133503748_-	ZNF605	-0.15	-0.135	-0.45	0.49	0
chr6_33271905_33271994_-	TAPBP	-0.15	-0.145	-0.49	0.51	0
chr20_33501556_33501628_+	ACSS2	-0.19	-0.185	-0.65	0.59	0
chrX_48937410_48937548_-	WDR45	-0.27	-0.265	-0.99	0.79	0
chr6_56955009_56955072_+	ZNF451	-0.27	-0.255	-0.94	0.76	0
chr16_2255770_2255876_+	MLST8	0.02	0.035	0.26	0.4	0
chr12_57175758_57176016_+	HSD17B6	-0.41	-0.395	-1.53	1.2	0
chr5_125805369_125805480_+	GRAMD3	-0.22	-0.215	-0.78	0.66	0
chr15_100106185_100106309_+	MEF2A	0.3	0.295	1.34	1.05	0
chr22_45958792_45959242_+	FBLN1	-0.34	-0.325	-1.23	0.96	0
chr9_108151314_108159627_+	SLC44A1	0.05	0.055	0.34	0.44	0
chr22_45958792_45959232_+	FBLN1	-0.34	-0.325	-1.23	0.96	0
chr20_30310421_30310663_-	BCL2L1	-0.07	-0.055	-0.11	0.34	0
chr14_74417011_74417198_+	COQ6	0.44	0.445	1.96	1.6	0.08
chr6_17794480_17794626_-	KIF13A	-0.22	-0.215	-0.78	0.66	0
chr19_58921373_58921458_+	ZNF584	0.21	0.215	1	0.8	0
chr16_77769725_77770146_+	NUDT7	-0.04	-0.035	-0.03	0.31	0
chr9_35607324_35607406_+	TESK1	-0.6	-0.595	-2.35	2.03	0.33
chr1_43916825_43916982_-	HYI	-0.32	-0.315	-1.19	0.93	0
chr6_112575661_112575774_-	LAMA4	0.32	0.325	1.46	1.14	0
chr6_74320123_74320270_-	SLC17A5	-0.15	-0.145	-0.49	0.51	0
chrX_44879855_44879975_+	KDM6A	-0.27	-0.255	-0.94	0.76	0
chr9_108377559_108377688_+	FKTN	0.19	0.195	0.92	0.75	0
chr10_91007295_91007406_-	LIPA	-0.15	-0.145	-0.49	0.51	0
chr17_55756910_55762046_+	MSI2	-0.37	-0.365	-1.4	1.09	0
chr1_9816539_9816568_-	CLSTN1	-0.19	-0.185	-0.65	0.59	0
chr4_2233568_2233887_-	HAUS3	-0.19	-0.175	-0.61	0.57	0
chr6_111095079_111095140_-	CDK19	0.12	0.135	0.67	0.6	0
chr19_9443691_9443789_+	ZNF177	0.04	0.055	0.34	0.44	0
chr14_68944365_68944768_+	RAD51B	0.52	0.525	2.29	1.96	0.27
chr17_39964111_39964256_-	LEPREL4	-0.4	-0.385	-1.48	1.16	0
chr21_38338744_38338773_-	HLCS	0.09	0.095	0.51	0.52	0
chr11_770470_770903_-	PDDC1	0.01	0.025	0.22	0.38	0
chr2_54342843_54342893_+	ACYP2	-0.2	-0.195	-0.7	0.62	0
chrX_106965089_106965502_-	TSC22D3	-0.07	-0.075	-0.2	0.38	0
chr10_50732079_50732823_-	ERCC6-PGBD3	-0.2	-0.195	-0.7	0.62	0
chr11_77122819_77122989_-	PAK1	0.08	0.085	0.47	0.5	0
chr1_28564272_28564616_+	ATPIF1	-0.68	-0.665	-2.64	2.38	0.56
chr16_15793586_15793711_+	NDE1	0.06	0.065	0.38	0.45	0
chr11_71698050_71698157_+	RNF121	0.37	0.385	1.71	1.36	0
chr22_51221467_51221714_-	RABL2B	-0.02	-0.005	0.09	0.33	0
chr6_4995281_4995510_-	RPP40	0.13	0.135	0.67	0.6	0
chr19_57908416_57908542_+	ZNF548	-0.08	-0.065	-0.16	0.36	0
chr7_43982425_43982456_+	UBE2D4	-0.19	-0.185	-0.65	0.59	0
chr12_7019054_7019190_+	LRRC23	0.31	0.315	1.42	1.11	0
chr10_50732079_50732823_-	ERCC6	-0.2	-0.195	-0.7	0.62	0
chr1_17328529_17328598_-	ATP13A2	-0.22	-0.205	-0.74	0.64	0
chr2_152695128_152695893_-	CACNB4	-0.26	-0.245	-0.9	0.74	0
chr7_7607238_7607319_+	MIOS	-0.07	-0.065	-0.16	0.36	0
chr1_155580009_155580123_+	MSTO1	-0.13	-0.115	-0.36	0.44	0
chr2_202006097_202006321_+	CFLAR	-0.08	-0.075	-0.2	0.38	0
chr10_71243447_71243632_+	TSPAN15	-0.15	-0.135	-0.45	0.49	0
chr2_202006097_202006325_+	CFLAR	-0.08	-0.075	-0.2	0.38	0
chr2_172314481_172314585_+	DCAF17	-0.25	-0.235	-0.86	0.71	0
chr13_50586071_50592587_+	TRIM13	-0.24	-0.235	-0.86	0.71	0
chr3_142144271_142144380_-	XRN1	-0.43	-0.435	-1.69	1.34	0
chr7_44687043_44687133_+	OGDH	-0.12	-0.115	-0.36	0.44	0
chr19_58096320_58096358_+	ZIK1	-0.28	-0.275	-1.03	0.82	0
chr21_34635098_34636830_+	IFNAR2	-0.28	-0.265	-0.99	0.79	0
chr16_89864782_89865487_-	FANCA	-0.03	-0.015	0.05	0.32	0
chr1_164815821_164815913_+	PBX1	0.28	0.285	1.3	1.01	0
chr11_120907214_120907321_+	TBCEL	0.14	0.155	0.76	0.65	0
chr8_48811030_48811129_-	PRKDC	-0.32	-0.315	-1.19	0.93	0
chr8_17581181_17581342_-	MTUS1	-0.05	-0.045	-0.07	0.33	0
chr9_108382215_108382342_+	FKTN	0.22	0.225	1.05	0.83	0
chr5_66124690_66124710_+	MAST4	-0.05	-0.045	-0.07	0.33	0
chr3_40557351_40560227_+	ZNF620	-0.15	-0.145	-0.49	0.51	0
chr5_66124604_66124710_+	MAST4	-0.05	-0.045	-0.07	0.33	0
chr1_2342069_2342275_-	PEX10	0.17	0.185	0.88	0.72	0
chr1_10042359_10045556_+	NMNAT1	-0.11	-0.095	-0.28	0.41	0
chr7_24902819_24902911_-	OSBPL3	-0.16	-0.145	-0.49	0.51	0
chr11_770208_770903_-	PDDC1	0.01	0.025	0.22	0.38	0
chr2_54342540_54342893_+	ACYP2	-0.2	-0.195	-0.7	0.62	0
chr4_103789872_103790032_-	UBE2D3	0.17	0.185	0.88	0.72	0
chr4_76446946_76447792_+	THAP6	0.06	0.065	0.38	0.45	0
chr19_19289656_19291570_-	MEF2BNB	-0.09	-0.065	-0.16	0.36	0
chr2_55252222_55254621_-	RTN4	-0.08	-0.075	-0.2	0.38	0
chr2_63798509_63798760_-	WDPCP	0.37	0.385	1.71	1.36	0
chr2_160284452_160284553_-	BAZ2B	-0.15	-0.145	-0.49	0.51	0
chr7_36394805_36397199_-	KIAA0895	-0.04	-0.035	-0.03	0.31	0
chr1_202927313_202927517_-	ADIPOR1	-0.17	-0.155	-0.53	0.53	0
chrX_48937410_48937540_-	WDR45	-0.27	-0.265	-0.99	0.79	0
chr1_3646564_3646712_+	TP73	0.13	0.145	0.71	0.62	0
chr6_56954875_56955072_+	ZNF451	-0.27	-0.255	-0.94	0.76	0
chrX_48937410_48937551_-	WDR45	-0.27	-0.265	-0.99	0.79	0
chr6_56954937_56955072_+	ZNF451	-0.27	-0.255	-0.94	0.76	0
chr2_37543380_37544222_-	PRKD3	-0.1	-0.095	-0.28	0.41	0
chr3_184947220_184947331_-	EHHADH	-0.36	-0.345	-1.32	1.03	0
chr6_41909190_41909493_-	CCND3	-0.09	-0.075	-0.2	0.38	0
