id	gene	deltaPSI	deltaPSIc	z	p	q
chr10_5684436_5684516_-	ASB13	0.08	0.075	0.24	0.39	0
chr19_53391380_53391506_-	ZNF320	0.59	0.595	2.59	2.32	0.42
chr12_121698122_121698345_-	CAMKK2	-0.23	-0.225	-1.12	0.88	0
chr19_23414969_23415095_-	ZNF724P	0.33	0.335	1.41	1.1	0
chr7_37988442_37988650_+	EPDR1	0.12	0.135	0.51	0.52	0
chr2_24933800_24933980_+	NCOA1	0.2	0.195	0.78	0.66	0
chr16_56458985_56459450_-	AMFR	-0.3	-0.285	-1.39	1.08	0
chr6_109215670_109215746_+	ARMC2	-0.01	0.005	-0.08	0.33	0
chrX_117054201_117054333_-	KLHL13	-0.13	-0.115	-0.62	0.57	0
chr19_17339612_17339724_+	OCEL1	-0.01	-0.005	-0.12	0.34	0
chr2_96517874_96517944_-	ANKRD36C	-0.23	-0.225	-1.12	0.88	0
chr17_46126135_46126226_+	NFE2L1	-0.04	-0.035	-0.26	0.4	0
chr13_50586071_50587304_+	TRIM13	0.19	0.195	0.78	0.66	0
chr2_96576288_96576316_-	ANKRD36C	0.11	0.125	0.46	0.49	0
chr19_48863329_48863433_-	TMEM143	0.41	0.405	1.73	1.38	0
chr1_115615526_115615628_-	TSPAN2	0.17	0.175	0.69	0.61	0
chr12_48499185_48499619_-	SENP1	0.01	0.025	0.01	0.3	0
chr19_14228314_14228544_-	PRKACA	0.16	0.165	0.65	0.59	0
chr15_59113916_59114022_+	FAM63B	0.17	0.175	0.69	0.61	0
chr8_87520345_87520522_-	RMDN1	0.06	0.065	0.19	0.37	0
chr6_28215845_28215927_-	ZKSCAN4	-0.17	-0.165	-0.85	0.7	0
chr17_25950340_25950717_+	KSR1	0.24	0.245	1.01	0.81	0
chr17_40739852_40739882_-	FAM134C	-0.31	-0.285	-1.39	1.08	0
chr17_27044231_27044766_-	RAB34	0.12	0.125	0.46	0.49	0
chr4_121737608_121737729_-	PRDM5	-0.01	-0.005	-0.12	0.34	0
chr16_77769725_77769883_+	NUDT7	0.04	0.055	0.15	0.36	0
chr2_131097133_131097335_-	CCDC115	0.16	0.175	0.69	0.61	0
chr19_39366971_39367130_-	RINL	0.3	0.295	1.23	0.96	0
chr22_50830296_50830444_+	PPP6R2	-0.09	-0.085	-0.48	0.5	0
chr12_69931696_69931763_+	FRS2	0.07	0.085	0.28	0.41	0
chr13_76383290_76383319_+	LMO7	-0.13	-0.115	-0.62	0.57	0
chr22_45148483_45148507_+	ARHGAP8	0.33	0.335	1.41	1.1	0
chr19_58016025_58016154_+	ZNF773	-0.37	-0.355	-1.7	1.35	0
chr19_58115645_58115774_+	ZNF530	0.15	0.155	0.6	0.56	0
chr6_73843144_73843364_+	KCNQ5	0.22	0.215	0.87	0.72	0
chr7_99156449_99156640_+	ZNF655	0.14	0.145	0.56	0.54	0
chr14_23586513_23587031_-	CEBPE	0.5	0.495	2.14	1.79	0.14
chr15_93443565_93444054_+	CHD2	-0.16	-0.155	-0.8	0.67	0
chr14_23587791_23588825_-	CEBPE	0.4	0.395	1.69	1.34	0
chr2_31165067_31165170_-	GALNT14	0.19	0.185	0.74	0.64	0
chr13_101322614_101322823_-	TMTC4	0.24	0.245	1.01	0.81	0
chr19_45162010_45162033_+	PVR	0.05	0.055	0.15	0.36	0
chr3_137907243_137907372_+	ARMC8	0.11	0.115	0.42	0.47	0
chr7_70233010_70233054_+	AUTS2	-0.16	-0.165	-0.85	0.7	0
chr15_64648187_64648442_-	CSNK1G1	-0.14	-0.135	-0.71	0.62	0
chr16_89726948_89727891_+	SPATA33	0.2	0.205	0.83	0.69	0
chr5_75904963_75905055_+	IQGAP2	0.08	0.095	0.33	0.43	0
chr2_24162410_24162532_+	UBXN2A	0.36	0.365	1.55	1.22	0
chr4_89326028_89326149_+	HERC6	-0.1	-0.075	-0.44	0.48	0
chr12_7013897_7014067_+	LRRC23	0.29	0.305	1.28	1	0
chr15_83222628_83222741_-	CPEB1	0.49	0.485	2.09	1.74	0.11
chr17_39965958_39966086_-	LEPREL4	0.22	0.215	0.87	0.72	0
chr9_95087588_95087838_-	NOL8	0.22	0.225	0.92	0.75	0
chr19_22025947_22026128_-	ZNF43	0.1	0.115	0.42	0.47	0
chr1_8585818_8585998_-	RERE	0.02	0.025	0.01	0.3	0
chr6_125403595_125403709_+	RNF217	-0.13	-0.115	-0.62	0.57	0
chr20_401515_401675_+	RBCK1	0.04	0.045	0.1	0.34	0
chr7_65557755_65558545_+	ASL	-0.02	-0.015	-0.17	0.36	0
chr19_49859216_49859227_-	TEAD2	-0.25	-0.245	-1.21	0.95	0
chr2_114392628_114392707_+	RABL2A	-0.16	-0.155	-0.8	0.67	0
chr12_123944070_123944447_+	SNRNP35	-0.19	-0.195	-0.98	0.79	0
chr19_14513409_14513674_+	CD97	-0.16	-0.155	-0.8	0.67	0
chr5_167798426_167798538_+	WWC1	-0.17	-0.165	-0.85	0.7	0
chr4_103789872_103790032_-	UBE2D3	-0.11	-0.105	-0.57	0.55	0
chr1_1327668_1328183_-	CCNL2	0.28	0.285	1.19	0.93	0
chr3_135797992_135798125_+	PPP2R3A	0.22	0.225	0.92	0.75	0
chr5_74489136_74489416_-	ANKRD31	0.27	0.285	1.19	0.93	0
chr17_41120121_41121203_-	PTGES3L	-0.08	-0.065	-0.39	0.46	0
chr12_50538552_50538844_-	CERS5	0.35	0.365	1.55	1.22	0
chr18_13038369_13038578_+	CEP192	-0.34	-0.325	-1.57	1.24	0
chr11_118897313_118897398_-	SLC37A4	-0.22	-0.205	-1.03	0.82	0
chr14_23778025_23778141_+	BCL2L2	0.17	0.175	0.69	0.61	0
chr14_58771662_58771727_+	ARID4A	-0.16	-0.145	-0.76	0.65	0
chrX_24170837_24170947_+	ZFX	0.21	0.215	0.87	0.72	0
chr20_33725683_33725808_-	EDEM2	0.03	0.035	0.06	0.32	0
chr6_124979332_124979532_+	NKAIN2	-0.16	-0.145	-0.76	0.65	0
chr10_98714710_98715591_+	LCOR	-0.11	-0.095	-0.53	0.53	0
chr14_24563490_24563643_+	PCK2	-0.07	-0.065	-0.39	0.46	0
chr7_121773571_121773876_-	AASS	0.33	0.335	1.41	1.1	0
chr20_33722541_33722752_-	EDEM2	0.04	0.045	0.1	0.34	0
chr2_96574280_96574322_-	ANKRD36C	0.09	0.095	0.33	0.43	0
chr12_112186815_112186843_+	ACAD10	0.32	0.325	1.37	1.07	0
chr14_73444845_73444942_-	ZFYVE1	-0.4	-0.395	-1.89	1.53	0.02
chr10_43659314_43659492_+	CSGALNACT2	0.18	0.185	0.74	0.64	0
chr14_35591755_35591841_+	KIAA0391	-0.07	-0.055	-0.35	0.44	0
chr19_38055471_38057193_-	ZNF571	-0.14	-0.125	-0.67	0.6	0
chr22_38239918_38240328_-	ANKRD54	-0.14	-0.125	-0.67	0.6	0
chr11_118505640_118505769_+	PHLDB1	-0.19	-0.195	-0.98	0.79	0
chr2_204334962_204335036_-	RAPH1	-0.07	-0.065	-0.39	0.46	0
chr7_44266115_44266243_-	CAMK2B	0.12	0.115	0.42	0.47	0
chr17_45772630_45773703_+	TBKBP1	-0.21	-0.205	-1.03	0.82	0
chr4_103789872_103790053_-	UBE2D3	-0.11	-0.105	-0.57	0.55	0
chr6_26392603_26394220_+	BTN2A2	-0.2	-0.195	-0.98	0.79	0
chr7_889560_889670_+	SUN1	-0.34	-0.335	-1.61	1.27	0
chr9_108151314_108159627_+	SLC44A1	0.57	0.575	2.5	2.21	0.35
chr4_75025772_75025805_+	MTHFD2L	0.31	0.315	1.32	1.03	0
chr19_53138319_53138406_-	ZNF83	0.2	0.205	0.83	0.69	0
chr19_38055166_38057193_-	ZNF571	-0.14	-0.125	-0.67	0.6	0
chr20_30310421_30310705_-	BCL2L1	0.19	0.195	0.78	0.66	0
chr19_12542383_12542794_-	ZNF443	-0.2	-0.195	-0.98	0.79	0
chr15_75335616_75335877_+	PPCDC	-0.16	-0.145	-0.76	0.65	0
chr2_197597170_197597524_+	CCDC150	-0.11	-0.105	-0.57	0.55	0
chr19_50017315_50017390_+	FCGRT	0.17	0.165	0.65	0.59	0
chr7_65557755_65557918_+	ASL	-0.02	-0.015	-0.17	0.36	0
chr22_46644069_46644181_-	CDPF1	0.42	0.425	1.82	1.46	0.01
chr19_58004224_58005151_+	ZNF419	-0.02	-0.005	-0.12	0.34	0
chr12_54069960_54071192_-	ATP5G2	-0.13	-0.115	-0.62	0.57	0
chr4_87622394_87622954_+	PTPN13	-0.2	-0.195	-0.98	0.79	0
chr4_26614791_26614863_+	TBC1D19	-0.66	-0.635	-2.97	2.83	0.72
chr2_70917918_70918061_-	ADD2	0.18	0.175	0.69	0.61	0
chr2_242036602_242036842_-	MTERFD2	0.12	0.125	0.46	0.49	0
chr12_48499185_48499617_-	SENP1	0.01	0.025	0.01	0.3	0
chr19_53324839_53324922_-	ZNF28	0.08	0.085	0.28	0.41	0
chr12_95656682_95656850_+	VEZT	0.24	0.255	1.05	0.83	0
chr2_233198550_233198697_+	DIS3L2	-0.23	-0.225	-1.12	0.88	0
chr11_118404135_118404240_+	TMEM25	0.02	0.025	0.01	0.3	0
chr5_141021964_141022070_-	FCHSD1	0.14	0.155	0.6	0.56	0
chr1_10715706_10715870_-	CASZ1	-0.17	-0.165	-0.85	0.7	0
chr2_96574417_96574445_-	ANKRD36C	-0.01	-0.005	-0.12	0.34	0
chr16_29874136_29874190_-	CDIPT	-0.43	-0.415	-1.98	1.62	0.06
chr17_58766293_58766407_+	BCAS3	0.18	0.185	0.74	0.64	0
chr4_853394_853510_-	GAK	-0.14	-0.135	-0.71	0.62	0
chr19_53898408_53898446_+	ZNF765	0.08	0.075	0.24	0.39	0
chr12_100985514_100985634_+	GAS2L3	0.25	0.265	1.1	0.87	0
chr1_155221524_155221699_-	FAM189B	0.07	0.075	0.24	0.39	0
chr1_95357837_95358073_+	SLC44A3	0.56	0.575	2.5	2.21	0.35
chr11_68509786_68509862_-	MTL5	-0.24	-0.235	-1.16	0.91	0
chr9_17298192_17298350_+	CNTLN	-0.13	-0.115	-0.62	0.57	0
chr1_67394573_67394646_+	MIER1	-0.19	-0.165	-0.85	0.7	0
chr22_37457144_37457215_+	KCTD17	0.24	0.245	1.01	0.81	0
chr4_89329676_89329769_+	HERC6	-0.16	-0.145	-0.76	0.65	0
chr9_108118493_108118662_+	SLC44A1	0.2	0.195	0.78	0.66	0
chr19_53875468_53875549_+	ZNF525	0.33	0.335	1.41	1.1	0
chr2_27260658_27260760_+	TMEM214	0.24	0.245	1.01	0.81	0
chr11_46651595_46651650_+	ATG13	0.23	0.245	1.01	0.81	0
chr4_85564177_85564296_+	CDS1	-0.24	-0.235	-1.16	0.91	0
chr2_96572542_96572578_-	ANKRD36C	-0.14	-0.135	-0.71	0.62	0
chr1_67517695_67517762_-	SLC35D1	-0.13	-0.115	-0.62	0.57	0
chr2_70148868_70148897_+	MXD1	-0.28	-0.275	-1.34	1.05	0
chr10_104005289_104005538_+	GBF1	0.29	0.305	1.28	1	0
chr8_82741665_82741751_-	SNX16	0.04	0.045	0.1	0.34	0
chr8_146054863_146054989_+	ZNF7	0.36	0.365	1.55	1.22	0
chr1_113229588_113229621_+	MOV10	0.11	0.115	0.42	0.47	0
chr10_124151819_124151888_+	PLEKHA1	0.42	0.425	1.82	1.46	0.01
chr1_155580032_155580123_+	MSTO1	0.35	0.355	1.5	1.18	0
chr11_309013_309395_+	IFITM2	0.08	0.075	0.24	0.39	0
chr11_309013_309392_+	IFITM2	0.08	0.075	0.24	0.39	0
chr1_161138313_161138366_+	PPOX	0.1	0.115	0.42	0.47	0
chr11_46689422_46689437_+	ATG13	-0.36	-0.345	-1.66	1.31	0
chr18_3450175_3450503_+	TGIF1	0.03	0.035	0.06	0.32	0
chr16_87764213_87764250_-	KLHDC4	-0.16	-0.155	-0.8	0.67	0
chr1_52732327_52732503_+	ZFYVE9	0.17	0.175	0.69	0.61	0
chr3_169865036_169867032_-	PHC3	0.11	0.115	0.42	0.47	0
chr19_44507100_44507259_+	ZNF230	-0.11	-0.105	-0.57	0.55	0
chr20_33721908_33721958_-	EDEM2	0.2	0.205	0.83	0.69	0
chr5_148702169_148702280_+	AFAP1L1	0.14	0.135	0.51	0.52	0
chr19_17339612_17339635_+	OCEL1	-0.01	-0.005	-0.12	0.34	0
chr7_76134691_76135305_+	DTX2	0.09	0.105	0.37	0.45	0
chr10_25197230_25197614_-	PRTFDC1	0.12	0.125	0.46	0.49	0
chr16_57153473_57153562_+	CPNE2	0.26	0.275	1.14	0.9	0
chr15_25652214_25652284_-	UBE3A	0.13	0.135	0.51	0.52	0
chr15_52029547_52030334_-	LYSMD2	0.48	0.475	2.05	1.7	0.11
chr19_22018838_22019010_-	ZNF43	-0.14	-0.135	-0.71	0.62	0
chr6_56954875_56955072_+	ZNF451	-0.07	-0.065	-0.39	0.46	0
chr15_99679522_99679672_-	TTC23	0.03	0.035	0.06	0.32	0
chr1_160232239_160232291_-	DCAF8	-0.21	-0.205	-1.03	0.82	0
chr10_95658328_95658508_+	SLC35G1	-0.13	-0.115	-0.62	0.57	0
chr13_53216541_53217919_+	HNRNPA1L2	-0.23	-0.225	-1.12	0.88	0
chr1_54651854_54651959_-	CYB5RL	-0.17	-0.175	-0.89	0.73	0
chr17_25950340_25950481_+	KSR1	0.24	0.245	1.01	0.81	0
chr10_6527114_6527231_-	PRKCQ	-0.15	-0.135	-0.71	0.62	0
chr20_30310421_30310663_-	BCL2L1	0.19	0.195	0.78	0.66	0
chr1_144177875_144178047_+	NBPF8	-0.41	-0.415	-1.98	1.62	0.06
chr2_28081306_28081438_-	RBKS	-0.26	-0.245	-1.21	0.95	0
chr8_144889722_144889784_-	SCRIB	0.02	0.025	0.01	0.3	0
chr20_50015180_50015267_-	NFATC2	0.01	0.015	-0.03	0.31	0
chr11_63714197_63714475_+	NAA40	-0.2	-0.195	-0.98	0.79	0
chr2_234182367_234182423_+	ATG16L1	-0.42	-0.405	-1.93	1.57	0.03
chr1_45805571_45805618_-	MUTYH	0.44	0.445	1.91	1.55	0.02
chr2_96559444_96559472_-	ANKRD36C	0.18	0.195	0.78	0.66	0
chr22_46688100_46688225_+	TTC38	0.36	0.365	1.55	1.22	0
chr12_104166088_104171859_-	NT5DC3	-0.25	-0.245	-1.21	0.95	0
chr12_125591667_125591814_+	AACS	0.19	0.195	0.78	0.66	0
chr22_45148466_45148507_+	ARHGAP8	0.33	0.335	1.41	1.1	0
chr4_85648014_85648064_-	WDFY3	0.28	0.285	1.19	0.93	0
chr1_179975589_179975702_+	CEP350	-0.11	-0.095	-0.53	0.53	0
chr17_7155375_7155401_+	ELP5	-0.22	-0.225	-1.12	0.88	0
chr6_128812877_128812994_-	PTPRK	0.08	0.085	0.28	0.41	0
chr3_9851931_9852078_+	TTLL3	0.04	0.055	0.15	0.36	0
chr15_64463828_64464184_-	CSNK1G1	-0.12	-0.125	-0.67	0.6	0
chr21_38458090_38459701_+	TTC3	0.21	0.215	0.87	0.72	0
chr3_196014486_196014716_-	PCYT1A	-0.02	-0.015	-0.17	0.36	0
chr15_51980457_51980599_+	SCG3	-0.23	-0.205	-1.03	0.82	0
chr19_38027799_38028813_+	ZNF793	-0.14	-0.125	-0.67	0.6	0
chr14_89091314_89091471_-	EML5	0.17	0.165	0.65	0.59	0
chr4_57248643_57248763_-	AASDH	-0.31	-0.295	-1.43	1.12	0
chr5_141018522_141018588_+	RELL2	-0.38	-0.365	-1.75	1.4	0
chr6_31371356_31371479_+	MICA	-0.47	-0.465	-2.2	1.86	0.19
chr19_58290119_58291982_+	ZNF586	-0.05	-0.035	-0.26	0.4	0
chr2_150017278_150017349_+	LYPD6B	-0.1	-0.095	-0.53	0.53	0
chr17_27044231_27044411_-	RAB34	0.12	0.125	0.46	0.49	0
chr1_155580009_155580123_+	MSTO1	0.35	0.355	1.5	1.18	0
chr17_27044231_27044869_-	RAB34	0.12	0.125	0.46	0.49	0
chr19_12383302_12384878_-	ZNF44	-0.29	-0.275	-1.34	1.05	0
chr11_66888705_66888829_+	KDM2A	-0.16	-0.145	-0.76	0.65	0
chr17_5366849_5367009_-	DHX33	-0.25	-0.235	-1.16	0.91	0
chr2_86079983_86080214_-	ST3GAL5	0.2	0.205	0.83	0.69	0
chr17_41121007_41121203_-	PTGES3L	-0.08	-0.065	-0.39	0.46	0
chr4_79841688_79841835_-	PAQR3	-0.1	-0.085	-0.48	0.5	0
chr19_53868957_53869012_+	ZNF525	0.44	0.445	1.91	1.55	0.02
chr4_120160371_120161058_+	USP53	0.22	0.225	0.92	0.75	0
chr20_18433259_18433326_-	DZANK1	0.26	0.275	1.14	0.9	0
chr19_9448472_9448534_+	ZNF177	0.01	0.015	-0.03	0.31	0
chr2_25462184_25462382_-	DNMT3A	0.03	0.025	0.01	0.3	0
chr10_46264903_46265066_+	FAM21C	-0.45	-0.435	-2.07	1.72	0.11
chr15_83222217_83222306_-	CPEB1	0.47	0.475	2.05	1.7	0.11
chr19_9785691_9785758_-	ZNF562	-0.22	-0.215	-1.07	0.85	0
chr19_53898397_53898446_+	ZNF765	0.08	0.075	0.24	0.39	0
chr17_18585517_18585541_-	ZNF286B	0.23	0.225	0.92	0.75	0
chr15_99679901_99679949_-	TTC23	-0.07	-0.075	-0.44	0.48	0
chr21_40779719_40779843_+	WRB	0.27	0.275	1.14	0.9	0
chr3_71247033_71247219_-	FOXP1	0.04	0.045	0.1	0.34	0
chr2_170344316_170344365_+	BBS5	-0.19	-0.185	-0.94	0.76	0
chr14_35591776_35591841_+	KIAA0391	-0.07	-0.055	-0.35	0.44	0
chr1_36385100_36395211_+	AGO1	-0.25	-0.235	-1.16	0.91	0
chr22_45132652_45133561_+	PRR5	0.29	0.285	1.19	0.93	0
chr17_42551093_42551127_-	GPATCH8	0.08	0.085	0.28	0.41	0
chr17_7155372_7155401_+	ELP5	-0.22	-0.225	-1.12	0.88	0
chr15_43319974_43320003_-	UBR1	-0.26	-0.245	-1.21	0.95	0
chr11_47281337_47281530_+	NR1H3	0.08	0.085	0.28	0.41	0
chr19_44589867_44593766_+	ZNF284	-0.04	-0.035	-0.26	0.4	0
chr1_217671698_217671737_-	GPATCH2	0.31	0.325	1.37	1.07	0
chr18_20951412_20951434_-	TMEM241	-0.15	-0.135	-0.71	0.62	0
chr9_71789193_71789348_+	TJP2	0.01	0.025	0.01	0.3	0
chr2_31147651_31147689_-	GALNT14	0.14	0.145	0.56	0.54	0
chr12_95656682_95656849_+	VEZT	0.24	0.255	1.05	0.83	0
chr16_20807666_20810389_-	ERI2	0.19	0.195	0.78	0.66	0
chr1_114215237_114215363_+	MAGI3	-0.06	-0.065	-0.39	0.46	0
chr15_31260123_31260213_-	MTMR10	-0.32	-0.305	-1.48	1.16	0
chr12_70133170_70133649_+	RAB3IP	0.11	0.115	0.42	0.47	0
chr9_130279136_130279298_-	FAM129B	0.25	0.245	1.01	0.81	0
chr9_95087588_95087643_-	NOL8	0.22	0.225	0.92	0.75	0
chr19_53854071_53858122_+	ZNF845	0.1	0.095	0.33	0.43	0
chr13_50586071_50588467_+	TRIM13	0.19	0.195	0.78	0.66	0
chr7_64139551_64139714_+	ZNF107	0.12	0.125	0.46	0.49	0
chr17_73931713_73931754_-	FBF1	-0.06	-0.055	-0.35	0.44	0
chr19_12540521_12542794_-	ZNF443	-0.2	-0.195	-0.98	0.79	0
chr14_23769316_23769534_-	PPP1R3E	-0.02	-0.025	-0.21	0.38	0
chr17_25950340_25950848_+	KSR1	0.24	0.245	1.01	0.81	0
chr20_45867502_45867882_-	ZMYND8	0.04	0.045	0.1	0.34	0
chr12_100522358_100522503_-	UHRF1BP1L	0.19	0.205	0.83	0.69	0
chr3_142496474_142496500_+	TRPC1	-0.11	-0.095	-0.53	0.53	0
chr1_1407149_1407469_+	ATAD3B	-0.16	-0.135	-0.71	0.62	0
chr22_38205956_38206164_+	GCAT	-0.15	-0.145	-0.76	0.65	0
chr11_1478185_1478270_+	BRSK2	-0.11	-0.105	-0.57	0.55	0
chr12_118480646_118480683_-	WSB2	-0.12	-0.105	-0.57	0.55	0
chr16_3335059_3335239_+	ZNF263	0.52	0.515	2.23	1.89	0.19
chr2_20550358_20550382_-	PUM2	-0.35	-0.345	-1.66	1.31	0
chr12_43769860_43769951_-	ADAMTS20	0.29	0.285	1.19	0.93	0
chr22_45130907_45131042_+	PRR5-ARHGAP8	0.29	0.295	1.23	0.96	0
chr15_59376301_59376453_+	RNF111	-0.17	-0.155	-0.8	0.67	0
chr22_45130907_45131042_+	ARHGAP8	0.29	0.295	1.23	0.96	0
chr2_238600982_238601164_+	LRRFIP1	0.19	0.185	0.74	0.64	0
chr22_18256376_18256782_-	BID	-0.11	-0.115	-0.62	0.57	0
chr11_313853_314356_+	IFITM1	0.21	0.215	0.87	0.72	0
chr14_24584418_24584502_+	DCAF11	0.02	0.015	-0.03	0.31	0
chr16_2255732_2255876_+	MLST8	-0.06	-0.045	-0.3	0.42	0
chr16_16337018_16337084_+	NOMO3	-0.18	-0.165	-0.85	0.7	0
chr7_6456299_6456385_-	DAGLB	-0.03	-0.025	-0.21	0.38	0
